,Critic_Score,Critic_Count,User_Score,User_Count
727,91.0,25.0,8.2,858.0
728,92.0,44.0,8.8,204.0
729,84.0,70.0,8.6,219.0
730,80.0,37.0,7.6,127.0
731,,,,
732,,,,
733,73.0,40.0,7.3,480.0
734,71.0,47.0,6.6,233.0
735,,,,
736,,,,
737,92.0,55.0,8.1,220.0
738,79.0,76.0,5.9,1095.0
739,92.0,69.0,8.3,156.0
740,,,,
741,,,,
742,88.0,73.0,7,206.0
743,80.0,15.0,7.9,16.0
744,88.0,93.0,8.2,573.0
745,,,,
746,94.0,72.0,9.2,317.0
747,,,,
748,,,,
749,81.0,37.0,6.1,208.0
750,80.0,41.0,6.6,132.0
751,81.0,74.0,7.5,211.0
752,,,,
753,82.0,26.0,8.9,28.0
754,82.0,33.0,5.4,347.0
755,,,,
756,,,,
757,,,,
758,80.0,33.0,6.9,614.0
759,82.0,54.0,6.3,539.0
760,74.0,17.0,7.9,30.0
761,79.0,72.0,7.6,110.0
762,66.0,30.0,7.3,136.0
763,,,,
764,69.0,21.0,7.6,50.0
765,,,,
766,,,6.6,5.0
767,90.0,31.0,6.1,1358.0
768,83.0,30.0,7.5,511.0
769,,,,
770,,,,
771,,,,
772,,,,
773,,,,
774,64.0,45.0,7.5,30.0
775,77.0,26.0,9,20.0
776,87.0,44.0,7.8,212.0
777,62.0,5.0,5.2,54.0
778,85.0,35.0,8.2,28.0
779,,,,
780,90.0,38.0,6.7,127.0
781,,,,
782,89.0,31.0,8.5,92.0
783,,,,
784,78.0,24.0,9.3,201.0
785,84.0,26.0,4.9,142.0
786,81.0,17.0,8.9,89.0
787,84.0,56.0,8.7,44.0
788,,,,
789,,,,
790,73.0,46.0,5,845.0
791,86.0,66.0,8.3,382.0
792,83.0,58.0,7.9,427.0
793,84.0,60.0,9,212.0
794,,,,
795,89.0,50.0,8.1,100.0
796,,,,
797,74.0,58.0,7.9,1287.0
798,,,,
799,85.0,82.0,7.6,520.0
800,90.0,53.0,5.6,953.0
801,44.0,7.0,6.2,11.0
802,77.0,45.0,7.1,136.0
803,,,8.3,14.0
804,69.0,33.0,8.2,57.0
805,80.0,21.0,6.3,37.0
806,,,,
807,,,,
808,95.0,66.0,8.5,997.0
809,64.0,54.0,7.1,34.0
810,72.0,21.0,7.8,54.0
811,,,,
812,49.0,5.0,5.2,24.0
813,73.0,16.0,7.1,27.0
814,71.0,85.0,6.1,1571.0
815,,,,
816,83.0,68.0,7.9,51.0
817,89.0,66.0,8.9,443.0
818,,,,
819,,,,
820,,,,
821,55.0,13.0,tbd,
822,88.0,18.0,9.2,21.0
823,82.0,62.0,8.6,208.0
824,,,,
825,92.0,41.0,8.8,120.0
826,72.0,42.0,7.1,78.0
827,75.0,26.0,8.8,41.0
828,,,,
829,,,5.5,29.0
830,59.0,40.0,5.9,71.0
831,,,,
832,,,,
833,72.0,38.0,9,34.0
834,82.0,41.0,8.2,68.0
835,73.0,26.0,6,43.0
836,78.0,26.0,8.9,53.0
837,86.0,56.0,8.2,63.0
838,,,,
839,,,,
840,48.0,11.0,3.3,4.0
841,86.0,19.0,7.7,41.0
842,89.0,65.0,8.1,307.0
843,73.0,24.0,7.7,29.0
844,62.0,34.0,8.1,97.0
845,89.0,54.0,8.7,1397.0
846,70.0,34.0,7.7,17.0
847,81.0,5.0,6.6,480.0
848,92.0,72.0,9.1,1130.0
849,64.0,48.0,6.4,182.0
850,,,8.4,5.0
851,89.0,43.0,7.4,1984.0
852,,,,
853,88.0,67.0,8.8,545.0
854,76.0,44.0,7.1,107.0
855,71.0,19.0,5.7,9.0
856,87.0,14.0,8.8,45.0
857,,,,
858,76.0,11.0,7.9,14.0
859,75.0,53.0,7.8,162.0
860,80.0,46.0,7.6,82.0
861,,,,
862,,,8.5,33.0
863,80.0,53.0,6.2,667.0
864,56.0,20.0,4.1,95.0
865,68.0,40.0,6.6,167.0
866,,,,
867,81.0,57.0,8.7,34.0
868,,,,
869,,,,
870,,,,
871,85.0,83.0,8.4,431.0
872,88.0,69.0,8.3,225.0
873,69.0,24.0,7.7,59.0
874,67.0,71.0,5,1407.0
875,93.0,58.0,8.6,118.0
876,,,,
877,90.0,31.0,8.8,70.0
878,80.0,33.0,8.9,41.0
879,71.0,29.0,8.1,41.0
880,87.0,55.0,7.7,455.0
881,,,tbd,
882,,,,
883,,,7.4,10.0
884,78.0,39.0,6.4,55.0
885,87.0,51.0,8,106.0
886,77.0,32.0,8.9,137.0
887,83.0,19.0,7.6,78.0
888,,,,
889,63.0,18.0,8.3,22.0
890,93.0,33.0,8.5,1647.0
891,79.0,48.0,8.5,69.0
892,,,,
893,,,,
894,72.0,61.0,7.5,87.0
895,86.0,81.0,6,1079.0
896,,,,
897,,,,
898,,,4.7,504.0
899,88.0,25.0,8,69.0
900,80.0,22.0,8.6,31.0
901,57.0,47.0,6.3,117.0
902,80.0,18.0,9.2,46.0
903,92.0,15.0,7.4,48.0
904,84.0,43.0,7.5,80.0
905,83.0,75.0,6.5,134.0
906,,,,
907,86.0,43.0,6.4,557.0
908,79.0,78.0,7.1,506.0
909,90.0,45.0,8.6,80.0
910,,,,
911,69.0,31.0,7.8,58.0
912,,,,
913,70.0,11.0,7.8,17.0
914,85.0,38.0,4.4,132.0
915,74.0,46.0,7.5,685.0
916,29.0,7.0,4.6,7.0
917,,,,
918,81.0,43.0,8.5,90.0
919,,,,
920,,,,
921,88.0,47.0,6.7,162.0
922,49.0,15.0,6.6,13.0
923,,,,
924,,,,
925,82.0,39.0,7.7,145.0
926,,,,
927,76.0,19.0,4.1,91.0
928,78.0,17.0,9.1,90.0
929,,,,
930,,,,
931,86.0,39.0,6.7,41.0
932,71.0,32.0,8.5,24.0
933,,,,
934,74.0,12.0,8.4,248.0
935,,,,
936,71.0,18.0,7.9,75.0
937,70.0,16.0,7.4,8.0
938,73.0,42.0,6.5,403.0
939,94.0,16.0,8.1,297.0
940,84.0,55.0,8.6,246.0
941,76.0,37.0,7.9,84.0
942,,,,
943,87.0,31.0,7.8,790.0
944,,,,
945,82.0,22.0,7.9,76.0
946,80.0,4.0,4.5,8.0
947,87.0,25.0,8.5,36.0
948,,,,
949,67.0,25.0,8.3,66.0
950,,,,
951,,,,
952,80.0,68.0,8.8,206.0
953,,,,
954,,,,
955,70.0,24.0,7.5,28.0
956,,,,
957,,,,
958,83.0,90.0,8.4,932.0
959,82.0,42.0,4.8,1265.0
960,,,,
961,72.0,9.0,6,5.0
962,85.0,17.0,7.9,70.0
963,89.0,81.0,8.9,1441.0
964,96.0,54.0,8.9,797.0
965,82.0,27.0,8.2,11.0
966,,,,
967,94.0,36.0,8,84.0
968,68.0,66.0,5.1,1147.0
969,88.0,64.0,9,178.0
970,,,8,13.0
971,83.0,23.0,8.3,46.0
972,80.0,54.0,6,148.0
973,,,,
974,89.0,46.0,7.6,105.0
975,87.0,85.0,7.9,863.0
